"country","grand_prix"
"Argentina","Argentine Grand Prix"
"Australia","Australian Grand Prix"
"Austria","Austrian Grand Prix"
"Austria","Styrian Grand Prix"
"Azerbaijan","European Grand Prix"
"Azerbaijan","Azerbaijan Grand Prix"
"Bahrain","Bahrain Grand Prix"
"Bahrain","Sakhir Grand Prix"
"Belgium","Belgian Grand Prix"
"Brazil","Ṣo Paulo Grand Prix"
"Brazil","Brazilian Grand Prix"
"Canada","Canadian Grand Prix"
"China","Chinese Grand Prix"
"France","Swiss Grand Prix"
"France","French Grand Prix"
"Germany","European Grand Prix"
"Germany","Eifel Grand Prix"
"Germany","Luxembourg Grand Prix"
"Germany","German Grand Prix"
"Hungary","Hungarian Grand Prix"
"India","Indian Grand Prix"
"Italy","Emilia Romagna Grand Prix"
"Italy","Tuscan Grand Prix"
"Italy","San Marino Grand Prix"
"Italy","Italian Grand Prix"
"Italy","Pescara Grand Prix"
"Japan","Pacific Grand Prix"
"Japan","Japanese Grand Prix"
"Korea","Korean Grand Prix"
"Malaysia","Malaysian Grand Prix"
"Mexico","Mexican Grand Prix"
"Mexico","Mexico City Grand Prix"
"Monaco","Monaco Grand Prix"
"Morocco","Moroccan Grand Prix"
"Netherlands","Dutch Grand Prix"
"Portugal","Portuguese Grand Prix"
"Qatar","Qatar Grand Prix"
"Russia","Russian Grand Prix"
"Saudi Arabia","Saudi Arabian Grand Prix"
"Singapore","Singapore Grand Prix"
"South Africa","South African Grand Prix"
"Spain","Spanish Grand Prix"
"Spain","European Grand Prix"
"Sweden","Swedish Grand Prix"
"Switzerland","Swiss Grand Prix"
"Turkey","Turkish Grand Prix"
"UAE","Abu Dhabi Grand Prix"
"UK","European Grand Prix"
"UK","British Grand Prix"
"UK","70th Anniversary Grand Prix"
"USA","Dallas Grand Prix"
"USA","United States Grand Prix West"
"USA","Indianapolis 500"
"USA","Caesars Palace Grand Prix"
"USA","Miami Grand Prix"
"USA","Las Vegas Grand Prix"
"USA","Detroit Grand Prix"
"USA","United States Grand Prix"
